ej	tipo	numero	do	cliente	ref_cliente	destinacion	fecha	descripcion
26	GMCI	26-GMCI-001119		SUCESION DE ROCCAFORTE RICARDO ANGE	26/101333 _ SUCESION DE ROCCAFORTE RICARGO ANGEL	26001TRM4006619D	11/08/2026	TRM4 1X40HV BUE/BINDER1+CLIENTE/BUE
26	GMCI	26-GMCI-001117		CELULOSA CANNING SA	IMB PAPELES ET-1181 PI UY-536	26042IC05021220X	14/08/2026	 
26	GMCI	26-GMCI-001115		CYPRES SA	CAMIÓN IC05 LATINBOOKS INV	26001IC05016591S	10/08/2026	Camión completo Tte Rolando SA MTP1013. 2371 Cajas // 21046,87 Kg Bruto Latinbooks International SA A 3008
26	GMCI	26-GMCI-001114	 	CROMIC SRL	26/101726 _ CROMIC SRL	26001TRM4006810T	14/08/2026	TRM4 1X40H BUE/BINDER1+CLIENTE/BUE
26	GMCI	26-GMCI-001113		CELULOSA CANNING SA	PEREZ TRADING COMPANY INV 145942	26042IC05021876C	21/08/2026	 
26	GMCI	26-GMCI-001112	 	GM CARGO SRL	MBL MEDUXZ734195 _ CHACOMER SA	26001TRM4006508A	07/08/2026	TRM4 2X40H EXOLGAN/ CLORINDA+PARAGUAY
26	GMCI	26-GMCI-001111		CELULOSA CANNING SA	PEREZ TRADING COMPANY INV 145097	26029IC05001764B	12/08/2026	 
26	GMCI	26-GMCI-001109		CELULOSA CANNING SA	PEREZ TRADING COMPANY INV 144968	26029IC05001763A	12/08/2026	RODO 482
26	GMCI	26-GMCI-001107		CELULOSA CANNING SA	PEREZ TRADING COMPANY INV 145891	26001IC05017224M	18/08/2026	 
26	GMCI	26-GMCI-001106		CELULOSA CANNING SA	PEREZ TRADING COMPANY INV 145888	26001IC05017548V	20/08/2026	 
26	GMCI	26-GMCI-001105		CRUX MARINE SAS 	IMPO USA INV A122 SEAVIEW+iMARINE	26073IC04090927X	21/08/2026	IMPORT AEREO DOS PROVEEDORES PROCEDENCIA USA
26	GMCI	26-GMCI-001104		BRASTIFF SRL	26/101331 _ BRASTIFF SRL	26001TRM4006223R	29/07/2026	TRM4 BUE/BIN1+ROS/BUE
26	GMCI	26-GMCI-001103		NINA SRL	26/101643 SI_NINA SRL	26001TRM4006330Z	03/08/2026	TRM4 1X40H BUE/BIN2-ROS/BUE
26	GMCI	26-GMCI-001102	 	ELEVEN TRADE SRL	26/101672 _ ELEVEN TRADE SRL	26001TRM4006339C	03/08/2026	TRM 2X40H BUE/SANTA FE PUERTO/ BUE INCLUYE CAMION RT
26	GMCI	26-GMCI-001101	 	ELEVEN TRADE SRL	26/101672 _ ELEVEN TRADE SRL	26001TRM4006341S	03/08/2026	TRM 1X40H BUE/SANTA FE PUERTO/ BUE INCLUYE CAMION RT
26	GMCI	26-GMCI-001100		INDUSTRIAS MAR SAS	26/01695_INDUSTRIAS MAR SA	26001TRM4006258C	31/07/2026	TRM4 2X40H CARGA 04/08 BUE/CORD+CLIENTE/BUE
26	GMCI	26-GMCI-001097		W.MAX SRL	CAUCHO PARAGUAY (CARGA 14) INV 001-002 0000049	26012IC04000789V	27/07/2026	 
26	GMCI	26-GMCI-001094		CROMIC SRL	26/101306 CROMIC	26001TRM4006140P	27/07/2026	TRM 1X40H TCNU4379813 BUE/BINDER1+CLIENTE/BUE
26	GMCI	26-GMCI-001093	 	CROMIC SRL	26/101305_CROMIC SRL	26001TRM4006152S	27/07/2026	TRM 2X40H BUE/BIINDER+CLIENTE/BUE
26	GMCI	26-GMCI-001090		IMPONET SA	IMPO MERCEDES SL500 J M CAR SALES INC INV 11139	26001IC04153959E	07/08/2026	 
26	GMCI	26-GMCI-001089		CELULOSA CANNING SA	IMB PAPELES: ET-1150 UY-509	26042IC05019174A	27/07/2026	 
26	GMCI	26-GMCI-001088		HECTOR CODINI S.A.	26/00937 SI _ HECTOR CODINI SA	26001TRM4006478G	06/08/2026	TRM4 1X40HC HMMU4933998 BUE/MARE/BUE
26	GMCI	26-GMCI-001087		HECTOR CODINI S.A.	26/00936 SI _ HECTOR CODINI SA	26001TRM4006473B	06/08/2026	TRM4 1X40HC GAOU6207491 BUE/CACEC/BUE
26	GMCI	26-GMCI-001086		JOSE MILANESIO SRL	26/00785 SI _ JOSE MILANESIO SRL	26001TRM4006038V	23/07/2026	1X20 IMO BEAU2892407 TRM BUE/CACEC/BUE
26	GMCI	26-GMCI-001085		PLAYGAME SRL	26/101498 SI_PLAYGAME SRL	26001TRM4005921V	20/07/2026	3X40H TRM T4/BINDER 2+CLIENTE+BUE
26	GMCI	26-GMCI-001084		ENVASES POLIVERSAL SA	26/101103 _ ENVASES POLIVERSTAL SA	26001TRM4006047V	23/07/2026	TRM4 1X40H BUE/ROS NO INCLUYE CAMIÓN
26	GMCI	26-GMCI-001082	 	W.MAX SRL	CAUCHO PARAGUAY (CARGA 13) INV 001-002 0000048	26012IC04000762M	22/07/2026	 
26	GMCI	26-GMCI-001081		PROBELT S.R.L.	P87-26 MODUTECH	26073IC04075055D	15/07/2026	P87-26 MODUTECH
26	GMCI	26-GMCI-001079		ENVASES AUSTRAL SA	26/01386	26001TRM4005819E	16/07/2026	26/01386
26	GMCI	26-GMCI-001077		W.MAX SRL	CAUCHO PARAGUAY (CARGA 12) INV 001-002 0000045	26012IC04000705J	14/07/2026	 
26	GMCI	26-GMCI-001074		PRIOTTI NANCY MARIA	JD 645FD DM AUCTIONS INV #557978	26008IC04006579G	13/08/2026	ETD 26/06 - ETA 14-07 // BUQUE: SUNSHINE ACE JCCM35587
26	GMCI	26-GMCI-001073		PRIOTTI NANCY MARIA	jD S670 RANDALL BROTHERS INV 32565	26008IC04006075U	29/07/2026	ETD: 11/07 - ETA 05/08 // BUQUE: HERITAGE LEADER JCCM35440
26	GMCI	26-GMCI-001072		W.MAX SRL	CAUCHO PARAGUAY (CARGA 11) INV 001-002 0000044	26012IC04000685Z	07/07/2026	 
26	GMCI	26-GMCI-001071		ADALMI SRL	IMPO HAMMER CARS BUSINESS LLC INV 23-120	26001IC04153992B	07/08/2026	 
26	GMCI	26-GMCI-001070	 	CELULOSA CANNING SA	IMB PAPELES: ET-1117 UY-495	26012IC04000682N	07/07/2026	IMPORT TERRESTRE FTL CLORINDA
26	GMCI	26-GMCI-001069	 	INDUSTRIAS MAR SAS	PCC 26/01376 SI _ INDUSTRIAS MAR SA	26001TRM4005425U	30/06/2026	TRM 2X40RH NOR BUE/CACEC+CLIENTE CORD CAP/ BUE
26	GMCI	26-GMCI-001068	 	CROMIC SRL	26/101202 SI _ CROMIC SRL	26001TRM4005646C	13/07/2026	TRM 1X40H EXOLGAN/BINDER 1+CLIENTE
26	GMCI	26-GMCI-001067		W.MAX SRL	CAUCHO PARAGUAY (CARGA 10) INV 001-002 0000042	26012IC04000662L	01/07/2026	 
26	GMCI	26-GMCI-001065		3BL SRL	SMARTNUTS ALMONDS INV	26001IC05014984W	20/07/2026	Carga consolidada Tte. Lizana SMARTNUTS SPA  Inv.1627 // 400 cajas 4000 Kg Almendras sin càscara partidas y rayadas cosecha 2026.
26	GMCI	26-GMCI-001064		MARIANO D. GUARDATTI	26/102054 SI : GUARDATTI MARIANO DAVID	26001TRM4005511Z	02/07/2026	TRM BUE/BINDER+CLIENTE 1X40H PCIU9293701
26	GMCI	26-GMCI-001063		CELULOSA CANNING SA	IMPO CUCHILLAS HOLSTEN FEDEX INV	26001IC04133837U	14/07/2026	Carga consolidada camiòn FEDEX Proveedor:HELSTEN IND. E COM. DE FACAS E FERRAMIENTAS LTDA. Inv.128/2026 Depòsito Fiscal Terminal Panamericana. Gral Pacheco. Canal Rojo. Bultos:2 // Kgs:147,680 
26	GMCI	26-GMCI-001062	 	ROS MEDICAL S.A.	075-67758364 ROS MEDICAL SA	26073TRM4001592H	24/06/2026	TRAM EZEIZA/ BINDER 1 HAWB: 00300853 8PKG 484KGS
26	GMCI	26-GMCI-001061		ENVASES POLIVERSAL SA	26/101100 ENVASES POLIVERSAL SA	26001TRM4005355W	29/06/2026	TRAM BUE/BINDER1+CLIENTE 1X40FR ZCSU6630012
26	GMCI	26-GMCI-001060	 	3BL SRL	INV 26-0882 AVENA SIN GLUTEN OP33	26075IC04000529W	01/07/2026	 
26	GMCI	26-GMCI-001058	 	INDUSTRIAS MAR SAS	CBA 26/01256 SI_INDUSTRIAS MAR SA	26001TRM4005062R	17/06/2026	TRM T4/CACEC+CLIENTE CORD. CAP. 2X40HC
26	GMCI	26-GMCI-001056		BOTO DE MATOS MAXIMILIANO CARLOS	P-PC-0069-26	26001IC04121948U	23/06/2026	P-PC-0069-26
26	GMCI	26-GMCI-001054	 	GOMEZ ROCO Y CIA SRL.	26/00150 SI_GOMEZ ROCO Y CIA SRL	26001TRM4005083U	18/06/2026	TRM TRP-BUE/COZOFRA-SALTA/BUE 1X20 IMO TGCU0188920
26	GMCI	26-GMCI-001053		GARRO FABRIL SA	26/101153 SI_GARRO FABRIL SA	26001TRM4004950W	16/06/2026	16/06 TRM BUE/ VENADO TUERTO/ BUE 1x20 MRKU7493197
26	GMCI	26-GMCI-001051	 	CUATRO ASES SA	26/01218_CUATRO ASES SA	26001TRM4005044R	17/06/2026	TRM BUE/DFCORD+ADCHIPION/BUE 1X40H MRSU6059700 ***IMO***
26	GMCI	26-GMCI-001050		CYPRES SA	LATINBOOKS INTERNATIONAL INV A3006	26001IC05013068Y	24/06/2026	Camión completo Tte Rolando. Ingreso 24/06/26 . Tefasa I. 2575 Cajas P.Bruto 23397,40. 
26	GMCI	26-GMCI-001049		3BL SRL	TERRANUT-3BL. INV 1175	26001IC05012289S	16/06/2026	ALMENDRAS TERRANUT - 3BL N° AFIDI:AR-435794 N° AFIDI:AR-435796
26	GMCI	26-GMCI-001048	 	CELULOSA CANNING SA	IMB PAPELES: ET-1075	26012IC04000561J	08/06/2026	IMPORT TERRESTRE FTL CLORINDA
26	GMCI	26-GMCI-001047		CUATRO ASES SA	CBA 26/01125_CUATRO ASES SA	26001TRM4004781B	08/06/2026	1X40H GESU6341267 TRP-BUE/CACEC/ADCHIPION
26	GMCI	26-GMCI-001046	 	CELULOSA CANNING SA	IMB PAPELES: ET1070	26042IC05014391T	09/06/2026	IMPORT TERRESTRE FTL PASO DE LOS LIBRES
26	GMCI	26-GMCI-001045	 	PROBELT S.R.L.	P72-26	26001IC04113284Y	11/06/2026	P72-26
26	GMCI	26-GMCI-001043		CELULOSA CANNING SA	IMB PAPELES: ET-1065	26042IC05014229T	08/06/2026	IMPORT TERRESTRE FTL PASO DE LOS LIBRES  
26	GMCI	26-GMCI-001041		VERDE OSCURO SRL	A 217	26001IC04132639T	13/07/2026	A 217
26	GMCI	26-GMCI-001040		CULTURAL LIBRERA AMERICANA S.A.	Guanghzou New Color Printing Inv 325122404-2	26001IC04145920Z	28/07/2026	Importación  843 cajas. 1X40 NOR Contenedor consolidado c/ SHENZHEN JINHAO COLOR PRINTING CO., LTD. SZLU9561068 ETD 17/06/2026
26	GMCI	26-GMCI-001039		PROBELT S.R.L.	P35-26	26001IC04111255K	09/06/2026	P35-26
26	GMCI	26-GMCI-001038		CELULOSA CANNING SA	142400 Perez Trading Company	26029IC05001335S	24/06/2026	Camión completo papel. Aduana Iguazú
26	GMCI	26-GMCI-001037		CELULOSA CANNING SA	142557	26029IC05001402N	01/07/2026	Camión completo papel. Aduana Iguazú  Inv. 142557 . 15.271 MT.
26	GMCI	26-GMCI-001036	 	CELULOSA CANNING SA	PEREZ TRADING CO: 142396	26029IC05001175U	09/06/2026	IMPORT TERRESTRE FTL IGUAZU
26	GMCI	26-GMCI-001035		CELULOSA CANNING SA	142575 Perez Trading Company	26029IC05001427U	03/07/2026	Camión completo papel. Aduana Iguazú- Inv. 142575. Perez Trading Company. 15.44 MT.
26	GMCI	26-GMCI-001034		CELULOSA CANNING SA	PEREZ TRADING: 142394	26029IC05001149V	04/06/2026	IMPORT TERRETRE FTL IGUAZU
26	GMCI	26-GMCI-001033		CELULOSA CANNING SA	INV 142547	26029IC05001238U	16/06/2026	INV 142547
26	GMCI	26-GMCI-001030		CULTURAL LIBRERA AMERICANA S.A.	SHENZHEN JINHAO JHP20260416201	26001IC04145856B	28/07/2026	Importación  849 cajas. 1X40 NOR Contenedor consolidado c/ Guangzhou New Color Printing CO., LTD. SZLU9561068 ETD 17/06/2026
26	GMCI	26-GMCI-001028		3BL SRL	PISTACHIOS KERNEL	26001IC04171394U	31/08/2026	GFT - GREEN NUTS
26	GMCI	26-GMCI-001027		PRIOTTI NANCY MARIA	JD S690 RANDALL BROTHERS INV 32566	26008IC04006068W	29/07/2026	ETD 26/06 - ETA 14-07 // BUQUE: SUNSHINE ACE JCCM35441
26	GMCI	26-GMCI-001022		PRIOTTI NANCY MARIA	JD S690 DM AUCTIONS INV 557979	26008IC04006052P	29/07/2026	ETD 26/06 - ETA 14-07 // BUQUE: SUNSHINE ACE JCCM35581
26	GMCI	26-GMCI-001021		SENSIMAT SRL	26/400272_ SENSIMAT SRL	26073TRM4001190B	19/05/2026	TRM4 EZE / BINDER 1 / 4 BULTOS
26	GMCI	26-GMCI-001020	 	GARRO FABRIL SA	26/100768 SI_ GARRO FABRIL SA	26001TRM4004078A	14/05/2026	TRM4 T4 / VENADO TUERTO 1X20GP MRKU9581050
26	GMCI	26-GMCI-001019		DC IMPORTACION SRL	26/00438_ DC IMPORTACIÓN SRL	26001TRM4003842V	06/05/2026	TRM4 TRP / DEP. FISCAL CÓRDOBA KOCU4185151
26	GMCI	26-GMCI-001018		3BL SRL	DÁTILES CON CAROZO (IRAN)	26001IC04159321Z	14/08/2026	COMPAÑÍA ATLÁNTICA OP30 //  Contenedor Dátiles con carozo origen Iraní. Compañia Atlántica Proforma 25189. 2250 cajas de 10 kgs c/u. Pre- Afidi AR-433784.
26	GMCI	26-GMCI-001017		CULTURAL LIBRERA AMERICANA S.A.	Arquetipo Grupo Editorial SA 4014	26001IC05010813J	27/05/2026	 
26	GMCI	26-GMCI-001016		W.MAX SRL	RECICLA MAS 001-002 0000032 CARGA 9	26012IC04000391K	04/05/2026	IC05 CAUCHO CLORINDA / BS. AS. (CARGA 9)
26	GMCI	26-GMCI-001015		GARRO FABRIL SA	26/100372 SI_ GARRO FABRIL SA	26001TRM4003622R	28/04/2026	TRM4 T4 / VENADO TUERTO 1X40HC MRKU4800978
26	GMCI	26-GMCI-001014		LAUACU SRL	BWB EMBALAGENS LTDA. PI11.291	26042IC05013376V	29/05/2026	IMPO IC05 BRASIL / P. DE LOS LIBRES
26	GMCI	26-GMCI-001013	 	W.MAX SRL	RECICLA MÁS 001-002 0000030  CARGA 8	26012IC04000371X	27/04/2026	IC05 CAUCHO CLORINDA / BS. AS. (CARGA 8)
26	GMCI	26-GMCI-001012		LA BERNITA SRL	MOWREY AUCTION CO., INC. INV: 32630	26008IC04005839E	22/07/2026	IMPORTACION MARITIMA VIA ZARATE_TRACTOR JD 9370R
26	GMCI	26-GMCI-001011		ASOCIACION CASA EDITORA SUDAMERICAN	LEO PAPER USA	26001IC04126456T	29/06/2026	LEO PAPER USA
26	GMCI	26-GMCI-001010	 	CELULOSA CANNING SA	PI UY-408	26042IC05010319P	29/04/2026	PASO DE LOS LIBRES
26	GMCI	26-GMCI-001009	 	W.MAX SRL	RECICLA MAS 001-002 0000029 CARGA 7	26012IC04000354J	21/04/2026	IC05 CAUCHO CLORINDA / BS. AS. (CARGA 7)
26	GMCI	26-GMCI-001008		CYPRES SA	LATINBOOKS INTERNATIONAL PROFORMA 01-26	26001IC05007695A	20/04/2026	 
26	GMCI	26-GMCI-001005	 	W.MAX SRL	TAISHAN/ JOSTRON: A10	26001IC04076645A	20/04/2026	IMPORT MARIT CESPED CHINA 1X40H
26	GMCI	26-GMCI-001004		TERMOSOL SRL	JAUSER MOTORHOME ZÁRATE	26008IC04003334P	27/04/2026	IMPO MOTORHOME TZ CARS BUSINESS INV 23-078
26	GMCI	26-GMCI-001003		3BL SRL	PI835 AVENA SIN GLUTEN	26075IC04000360P	30/04/2026	AVENA SIN GLUTEN CHILE  Fecha de oficialización:30/04/2026// 26075IC04000360P COSMOS TRADING LLC Inv  835
26	GMCI	26-GMCI-001002		A Z EDITORA S.A.	LYFTEN LLC CHINA	26001IC04082963A	28/04/2026	 
26	GMCI	26-GMCI-001001		SOCIEDAD DE SAN PABLO	Plastvinil + Sociedad de San P	26073IC04037476X	13/04/2026	Aéreo Colombia Plastvinil  PT5214 + Sociedad de San Pablo Colombia 100210050518
26	GMCI	26-GMCI-000999		W.MAX SRL	RECICLA MAS 001-002 0000026 (CARGA 6)	26012IC04000324G	13/04/2026	IC05 CAUCHO CLORINDA / BS. AS. (CARGA 6)
26	GMCI	26-GMCI-000998		LA BERNITA SRL	RANDALL BROTHERS 30765 JD R4045	26008IC04003261Y	22/04/2026	 
26	GMCI	26-GMCI-000997		PROBELT S.R.L.	HABASIT CHILE E-006-26F	26001IC04074195V	15/04/2026	HABASIT CHILE E-006-26F
26	GMCI	26-GMCI-000996		EDITORIAL BETINA SRL	NGPN60272500	26001IC04095679X	18/05/2026	 
26	GMCI	26-GMCI-000995		EDITORIAL BETINA SRL	SZSM26020233	26001IC04088933D	07/05/2026	IMPO LIBROS 4901 + 4903 WONDERBOX WORKSHOP LTD INV 264 TRP
26	GMCI	26-GMCI-000993		3BL SRL	ALMENDRAS USA	26001IC04129929E	03/07/2026	ALMENDRAS USA
26	GMCI	26-GMCI-000992		3BL SRL	TERRANUTS INV 1169	26001IC05007213J	13/04/2026	CAMIÓN ICO5 CHILE / BS. AS. (SAF) ALMENDRAS
26	GMCI	26-GMCI-000991	 	W.MAX SRL	HEBEI AOHE/ JOSTRON: A11	26001IC04091553S	11/05/2026	IMPORT MARIT 2X20OT VIDRIO TEMPLADO
26	GMCI	26-GMCI-000990		GARRO FABRIL SA	26/100448 SI _ GARRO FABRIL SA	26001TRM4002931T	07/04/2026	TRM4 BUE (TRP)/ CELIMEX+CLIENTE/BUE(TRP) 1x40HC CSGU6900150
26	GMCI	26-GMCI-000987		PRIOTTI NANCY MARIA	RANDALL BROTHERS 30699 JD S690	26008IC04004228S	22/05/2026	 
26	GMCI	26-GMCI-000985		SOCIEDAD DE SAN PABLO	AÉREO ESPAÑA CAUCE LIBROS	26073IC04031542T	27/03/2026	 
26	GMCI	26-GMCI-000984	 	3BL SRL	001AR2-8021 // VITAKAI SA INV 26015001	26001IC05009596C	12/05/2026	IMPO AVELLANAS SIN CÁSCARA CAMIÓN IC04 DEFIBA
26	GMCI	26-GMCI-000983		PROBELT S.R.L.	P033-26 MODUTECH	26001IC04152323L	05/08/2026	P033-26 MODUTECH
26	GMCI	26-GMCI-000981		LUMINIAS SRL	ZIM BANGKOK	26001IC04065727W	07/04/2026	ZIM BANGKOK
26	GMCI	26-GMCI-000980		SOCIEDAD DE SAN PABLO	PAPEL RESOLUTE	26001IC04078766G	21/04/2026	PAPEL RESOLUTE
26	GMCI	26-GMCI-000979		EDITORIAL BETINA SRL	INVOICE 2026-2217	26001IC04066141N	07/04/2026	INVOICE 2026-2217
26	GMCI	26-GMCI-000976		AGROFIERRO S.A	DAGGER MACHINERY_INV: 6849	26008IC04002243N	18/03/2026	IMPORT MAR TZ_PULVERIZADORA JD R4045
26	GMCI	26-GMCI-000975		RUILARSA SRL	UPCOM TELEK INV. AP02026000000007	26073IC04025491C	11/03/2026	IMPORT MAQ. SOPLADORA DE FIBRA OPTICA_ AEREA VIA FEDEX PREPAID
26	GMCI	26-GMCI-000974		DURANTEX SA	es260201dt3	26001IC04051821M	17/03/2026	es260201dt3
26	GMCI	26-GMCI-000973		PROBELT S.R.L.	HABASIT CHILE	26001IC04044564S	05/03/2026	HABASIT CHILE
26	GMCI	26-GMCI-000972		ANDRESITO SA	SLOAN IMPLEMENT INV: 260219	26008IC04004322N	27/05/2026	IMPORTACION MARITIMA VIA ZARATE_TRACTOR JD 8360RT
26	GMCI	26-GMCI-000971		CROMIC SRL	25/101216 SI_CROMIC SRL	26001TRM4002058T	09/03/2026	TRM4 EXO/BINDER1 2X40H
26	GMCI	26-GMCI-000970		W.MAX SRL	RECICLA MAS 001-002 0000020	26012IC04000197Y	06/03/2026	IMPORT FTL#5 CAUCHO ADUANA DE CLORINDA
26	GMCI	26-GMCI-000967		W.MAX SRL	RECICLA MAS 001-002 0000014	26012IC04000176L	27/02/2026	IMPORT FTL#4 CAUCHO ADUANA DE CLORINDA
26	GMCI	26-GMCI-000966		INDUSTRIAS MAR SAS	26/00360 SI_INDUSTRIAS MAR SA	26001TRM4001809W	27/02/2026	TRM4 2X40HC EXOLGAN/CACEC/CLIENTE
26	GMCI	26-GMCI-000965		CRUX MARINE SAS 	SRT MARINE INV: SIN109515	26001IC04039340Y	26/02/2026	IMPO AIS COAST STATION (DHL PREPAID)
26	GMCI	26-GMCI-000964		GM CARGO SRL	IPARAGUAY LOG SVCS INV: 001-003-0000015	26073IC04033210N	31/03/2026	IMPO KITS DE ARBITRAJE CONMEBOL
26	GMCI	26-GMCI-000963		PRIOTTI NANCY MARIA	RANDALL BROTHERS 20010-30963 JD S690	26026IC05000775W	01/04/2026	IMPO COSECHADORA IC05 GUALEGUAYCHÚ / CÓRDOBA
26	GMCI	26-GMCI-000962		CYPRES SA	LATINBOOKS INV 01-26	26001IC05005010C	16/03/2026	Camióm completo LatinBooks International SA inv. 2605. Oficialización 16/03/2026. 2681 Bultos 23.097,29 Kgs.
26	GMCI	26-GMCI-000961		MICROENVASES SA	AGI _IMP_ MICRO ENVASES SA	26001TRM4001523P	20/02/2026	TRAM 1x20 MRKU7525083 T4-TERM PATAGONIA NORTE-BAHIA BLANCA
26	GMCI	26-GMCI-000960		BRONWAY TECHNOLOGY S.A.	25/101112_BRONWAY TECHNOLOGY SA	26001TRM4001290Z	11/02/2026	TRM4 T4/BINDER 2-ROSARIO 1X20 SUDU7405397 ***IMO***
26	GMCI	26-GMCI-000959		PROBELT S.R.L.	P145-25 TONOGA	26001IC04042570N	03/03/2026	P145-25 TONOGA
26	GMCI	26-GMCI-000958		CELULOSA CANNING SA	SHANGHAI CHENGQI PACKING	26001IC04029734U	11/02/2026	IMPORT MAR CHINA 1X40HC WRAPPING+SHRINK+CONVEYOR MACHINES_ INV CQ25051402
26	GMCI	26-GMCI-000957		CELULOSA CANNING SA	FFA MÁQUINAS INV 001/2025	26029IC05000413Y	11/03/2026	IMPORT TERRESTRE FTL DE BRASIL_EMPAQUETADORA
26	GMCI	26-GMCI-000956		BOCCOLI ROBERTO JUAN	JORGE PEREZ INV. A105	26026IC03000123H	27/02/2026	IMPORT TERRESTRE GUALEGUAYCHU 2 CAMIONES_COSECHADORA + CABEZAL
26	GMCI	26-GMCI-000955		CELULOSA CANNING SA	IMB ET-916 pi 568 CARGA 6	26042IC05003132K	11/02/2026	IMPORT TERRESTRE FTL PDLLIBRES
26	GMCI	26-GMCI-000954		VACHETTA LUIS MARÍA	COSECHADORA JD SLOAN IMPLEMENT INV 260129	26008IC04003540Y	30/04/2026	 
26	GMCI	26-GMCI-000953	 	GARRO FABRIL SA	25/100824_GARRO FABRIL SA	26001TRM4001234Y	10/02/2026	TRM4 T4/ CELIMEX-VENADO TUERTO 1X40ST MRKU0581212
